Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQ,Invesco QQQ,Equity,"$65,573,545,546.00",8.55%,"56,669,584",$167.45,-0.42%,No,No,1.39%,7.18%,0.54%,65.46%,104.83%,"-$468,831,242.50","$1,224,650,425.00","$847,784,763.50","$3,806,302,117.00","$8,726,341,514.50","-$2,951,605,327.00",Large Cap Growth Equities,1999-03-10,0.20%,N/A,$1.41,2018-12-24,$0.42,0.84%,23.57,1.14,104,52.14%,35%,15%,1099,$155.98,$168.24,N/A,N/A,56.60,A-,A+,A-,A-,C+,B,B,5.72,85.13%,56.50%,46.74,12.92%,8.62%
XLK,Technology Select Sector SPDR Fund,Equity,"$17,885,005,559.00",7.57%,"16,916,880",$66.67,0.59%,No,No,1.12%,8.41%,-1.28%,69.59%,108.33%,"-$578,208,239.50","-$210,898,823.00","-$717,661,985.50","-$2,880,660,580.00","-$963,455,060.54","-$4,003,964,846.48",Technology Equities,1998-12-16,0.13%,N/A,$0.99,2018-12-21,$0.27,1.49%,16.39,1.07,69,63.98%,35%,15%,1099,$61.32,$67.00,$66.24,$67.06,56.28,A,A+,A,C+,A+,A-,B+,7.21,96.80%,95.55%,25.32,0.51%,7.14%
VGT,Vanguard Information Technology ETF,Equity,"$17,589,872,755.00",8.72%,"954,537",$181.38,0.68%,No,No,1.46%,9.54%,3.65%,84.57%,120.56%,"-$1,194,527,733.53","-$4,848,500.00","-$1,156,981,983.53","-$1,693,576,213.76","$2,420,176,309.06","$5,022,093,764.70",Technology Equities,2004-01-30,0.10%,Vanguard,$2.16,2018-12-13,$0.64,1.20%,23.90,1.14,320,54.35%,35%,15%,1099,$165.19,$182.05,$180.31,$182.29,57.81,A+,A,A,B-,A,A-,A+,6.82,93.24%,89.54%,25.72,0.91%,6.84%
FDN,First Trust Dow Jones Internet Index,Equity,"$7,949,184,216.00",13.56%,"866,142",$132.48,0.12%,No,No,1.67%,10.58%,8.77%,100.51%,120.76%,"-$66,232,039.50","-$12,894,807.00","-$31,275,284.00","$1,270,039,861.00","$1,373,771,656.70","$2,846,999,119.84",Large Cap Growth Equities,2006-06-23,0.53%,N/A,$0.00,2011-12-21,$0.01,0.00%,55.58,1.13,41,53.25%,35%,15%,1099,$120.73,$133.47,$131.75,$133.10,60.07,B+,A,B,A+,B+,C,B,4.46,10.68%,17.43%,17.95,9.59%,5.81%
IYW,iShares U.S. Technology ETF,Equity,"$3,745,484,833.00",9.17%,"255,297",$174.60,0.29%,No,No,2.02%,9.25%,0.94%,78.02%,111.70%,"-$73,261,776.50","$8,339,309.50","-$57,974,131.50","-$517,779,673.50","-$488,975,824.00","-$1,780,040,963.00",Technology Equities,2000-05-19,0.43%,N/A,$1.46,2018-12-17,$0.34,0.85%,19.93,1.12,151,63.98%,35%,15%,1099,$158.78,$174.73,$173.88,$175.52,58.16,A-,A,A-,C,A,B+,A,6.7,87.19%,87.16%,25.38,0.44%,7.21%
IXN,iShares Global Tech ETF,Equity,"$2,419,260,937.00",8.21%,"126,702",$155.85,0.46%,No,No,0.83%,9.18%,-4.37%,73.59%,104.35%,"$75,668,108.50","$15,419,923.00","$75,668,108.50","$1,026,391,350.50","$1,105,489,508.00","$1,156,079,008.00",Technology Equities,2001-11-12,0.47%,N/A,$1.36,2018-12-18,$0.81,0.88%,17.64,1.09,122,52.11%,35%,15%,1099,$142.16,$157.04,$155.17,$156.51,56.96,B+,B+,B+,C+,A,B,A-,7.12,95.73%,94.24%,33.51,1.02%,6.71%
XT,iShares Exponential Technologies ETF,Equity,"$2,312,067,133.00",9.32%,"160,606",$36.36,0.58%,No,No,1.54%,8.47%,-2.72%,65.15%,N/A,"-$59,057.00",$0.00,"-$59,057.00","$606,649,750.50","$1,222,158,534.00","$1,361,303,034.00",Large Cap Growth Equities,2015-03-19,0.47%,N/A,$0.48,2018-12-28,$0.01,1.33%,20.25,1.07,210,6.60%,35%,15%,1099,$33.56,$36.43,$36.24,$36.45,60.54,N/A,N/A,B+,N/A,N/A,N/A,N/A,5.72,54.45%,56.68%,80.11,5.19%,10.48%
IGV,iShares Expanded Tech-Software Sector ET,Equity,"$2,298,202,388.00",11.78%,"443,119",$193.96,0.91%,No,No,2.58%,10.92%,14.53%,106.74%,140.31%,"$365,069,330.00","$95,894,851.00","$399,298,478.00","$792,036,295.00","$668,321,142.50","$190,871,096.50",Technology Equities,2001-07-10,0.47%,N/A,$0.28,2018-12-17,$0.22,0.14%,35.47,1.12,92,55.78%,35%,15%,1099,$175.63,$193.53,$192.60,$194.84,61.61,B+,A-,B+,B,A-,C+,B+,6.58,83.63%,83.67%,13.69,0.00%,12.55%
QTEC,First Trust NASDAQ 100 Technology,Equity,"$2,123,022,265.00",12.80%,"259,629",$76.77,1.08%,No,No,2.52%,13.00%,0.49%,101.48%,130.09%,"-$74,276,943.00","-$7,307,377.00","-$60,930,173.00","-$181,113,030.50","$1,020,657,561.50","$1,080,999,992.00",Technology Equities,2006-04-25,0.58%,N/A,$0.62,2018-12-18,$0.20,0.81%,18.71,1.17,40,29.36%,35%,15%,1099,$67.25,$76.52,$76.24,$77.20,61.90,B,B+,B-,B,A-,B+,B,5.6,46.62%,52.24%,51.44,0.00%,6.52%
FTEC,Fidelity MSCI Information Technology Index ETF,Equity,"$1,933,018,253.00",8.83%,"520,732",$53.59,0.64%,No,No,1.40%,9.48%,0.86%,79.52%,114.72%,"-$1,800,659.50",$0.00,"$17,929,839.50","$201,921,247.00","$1,151,152,041.50","$1,444,843,286.50",Technology Equities,2013-10-21,0.08%,Fidelity,$0.59,2018-12-21,$0.19,1.11%,28.11,1.16,313,54.34%,35%,15%,1099,$48.84,$53.82,$53.29,$53.87,57.64,N/A,N/A,A+,N/A,N/A,N/A,N/A,6.56,82.92%,83.26%,24.19,0.74%,6.01%
